,0.0%,-5.0%,-2.0%,-1.0%,-0.5%,0.5%,1.0%,2.0%,5.0%
Market Model,16.1,99.6,98.0,82.89999999999999,47.5,43.3,82.1,98.4,99.6
FF3,5.800000000000001,99.6,98.3,87.9,46.1,41.3,85.39999999999999,99.1,99.6
FF5,5.4,99.6,98.3,87.9,45.6,41.6,85.7,99.1,99.6
5 clusters,5.800000000000001,99.6,98.6,87.1,45.5,41.9,85.1,98.8,99.6
5 clusters + FF3,5.5,99.6,98.7,88.0,46.7,42.0,85.39999999999999,99.0,99.6
5 clusters + FF5,5.0,99.6,98.7,88.1,45.800000000000004,42.0,85.8,98.9,99.6
10 clusters,5.4,99.6,98.7,87.8,45.5,42.199999999999996,85.3,99.0,99.6
10 clusters + FF3,5.3,99.6,98.7,88.1,46.400000000000006,42.3,85.3,99.1,99.6
10 clusters + FF5,5.0,99.6,98.7,88.2,46.300000000000004,42.699999999999996,85.7,98.9,99.6
15 clusters,4.8,99.6,98.7,88.0,45.7,42.0,85.9,99.0,99.6
15 clusters + FF3,5.2,99.6,98.7,87.8,47.4,42.4,85.6,98.9,99.6
15 clusters + FF5,5.1,99.6,98.7,88.0,47.199999999999996,42.5,86.2,99.0,99.6
20 clusters,5.0,99.6,98.7,87.6,45.9,43.3,85.39999999999999,98.9,99.6
20 clusters + FF3,5.0,99.6,98.7,87.8,47.3,42.8,85.3,98.9,99.6
20 clusters + FF5,5.0,99.6,98.7,88.4,46.6,42.4,85.7,98.9,99.6
25 clusters,4.9,99.6,98.7,88.0,46.9,42.3,85.2,99.1,99.6
25 clusters + FF3,4.8,99.6,98.7,88.0,47.199999999999996,41.8,85.7,99.0,99.6
25 clusters + FF5,5.0,99.6,98.6,88.2,46.9,41.9,85.7,99.0,99.6
30 clusters,5.2,99.6,98.6,87.5,46.2,42.199999999999996,85.3,99.1,99.6
30 clusters + FF3,4.9,99.6,98.6,87.7,47.0,42.4,86.2,99.0,99.6
30 clusters + FF5,5.1,99.6,98.6,88.3,46.800000000000004,42.3,86.3,99.0,99.6
35 clusters,5.0,99.6,98.7,88.0,47.0,42.5,86.4,98.8,99.6
35 clusters + FF3,5.1,99.6,98.7,87.9,47.8,42.199999999999996,85.6,98.9,99.6
35 clusters + FF5,5.0,99.6,98.6,87.8,47.3,42.4,85.8,98.9,99.6
40 clusters,5.1,99.6,98.6,88.4,46.7,42.8,86.3,98.9,99.6
40 clusters + FF3,4.8,99.6,98.7,88.5,47.3,42.6,85.5,98.9,99.6
40 clusters + FF5,4.6,99.6,98.6,88.6,46.7,41.6,85.2,98.8,99.6
50 clusters,5.2,99.6,98.6,88.2,46.9,43.0,85.9,99.1,99.6
50 clusters + FF3,5.0,99.6,98.6,88.1,47.0,42.8,85.6,99.1,99.6
50 clusters + FF5,5.2,99.6,98.6,88.0,46.7,42.9,85.8,99.0,99.6
